x_px,y_px,yerr_px,x_norm,y_norm,yerr_norm,x,y,yerr
259.7906976744186,648.6279069767442,19.5,0.03708032727419289,0.11627906976744196,0.027196652719665274,2.463094998186288,17.674418604651176,4.133891213389122
286.24418604651163,321.69767441860466,43.5,0.0600036274233203,0.5722487107132431,0.060669456066945605,2.533011063641127,86.98180402841295,9.221757322175732
313.0,170.5,50.5,0.0831889081455806,0.7831241283124128,0.07043235704323571,2.603726169844021,119.03486750348675,10.705718270571827
340.2134831460674,85.07865168539325,54.5,0.10677078262224211,0.9022612947205115,0.07601115760111576,2.6756508869978384,137.14371679751775,11.553695955369596
367.2093023255814,165.62790697674419,51.5,0.13016404014348476,0.7899192371314586,0.07182705718270571,2.7470003224376285,120.06772404398171,10.917712691771268
394.0,307.5,44.5,0.15337954939341422,0.5920502092050209,0.06206415620641562,2.8178076256499134,89.99163179916319,9.433751743375174
420.566265060241,430.6144578313253,37.0,0.17640057630870104,0.4203424576968964,0.05160390516039052,2.888021757741538,63.89205356992825,7.843793584379359
447.1764705882353,468.67058823529413,34.5,0.19945967988581914,0.367265567314792,0.04811715481171548,2.9583520236517487,55.82436623184838,7.313807531380753
474.5,501.64285714285717,32.5,0.2231369150779896,0.321279139270771,0.045327754532775454,3.0305675909878684,48.83442916915719,6.889818688981869
501.2857142857143,558.5,28.0,0.24634810596682347,0.24198047419804747,0.03905160390516039,3.1013617231988118,36.781032078103216,5.935843793584379
554.7906976744187,667.3720930232558,16.5,0.29271290959654994,0.0901365508741202,0.02301255230125523,3.2427743742694775,13.70075573286627,3.497907949790795
581.2705882352941,624.7411764705882,22.0,0.3156590885921093,0.14959389613586016,0.030683403068340307,3.3127602202059334,22.738272212650745,4.663877266387726
635.5,648.6428571428571,19.5,0.3626516464471404,0.11625821876867903,0.027196652719665274,3.456087521663778,17.671249252839214,4.133891213389122
662.0795454545455,648.5795454545455,19.5,0.3856841815030724,0.1163465195891974,0.027196652719665274,3.526336753584371,17.684670977558003,4.133891213389122
688.840909090909,620.0454545454545,22.5,0.4088742713092799,0.15614302015975667,0.03138075313807531,3.597066527493304,23.733739064283014,4.7698744769874475
715.5,700.6428571428571,9.0,0.43197573656845756,0.04373381151623834,0.012552301255230125,3.667525996533796,6.647539350468228,1.907949790794979
742.8505747126437,681.5977011494252,13.0,0.45567640789657166,0.07029609323650599,0.01813110181311018,3.739813044084544,10.68500617194891,2.755927475592747
769.5,681.6428571428571,15.0,0.47876949740034663,0.07023311416616862,0.02092050209205021,3.8102469670710573,10.675433353257631,3.1799163179916317
796.0,705.5,11.0,0.5017331022530329,0.03695955369595538,0.015341701534170154,3.880285961871751,5.617852161785218,2.331938633193863
823.0,686.5,13.0,0.5251299826689775,0.06345885634588566,0.01813110181311018,3.951646447140382,9.645746164574621,2.755927475592747
849.566265060241,667.3855421686746,13.5,0.5481510095842643,0.09011779334912884,0.01882845188284519,4.021860579232007,13.697904589067583,2.8619246861924688
876.9420289855072,695.6739130434783,13.0,0.5718735086529526,0.05066399854466075,0.01813110181311018,4.094214201391505,7.700927778788434,2.755927475592747
903.875,671.328125,16.0,0.5952123050259965,0.08461907252440726,0.022315202231520222,4.165397530329289,12.862099023709902,3.391910739191074
930.2093023255813,648.6279069767442,19.5,0.6180323243722542,0.11627906976744196,0.027196652719665274,4.234998589335376,17.674418604651176,4.133891213389122
957.0449438202247,681.5393258426966,13.0,0.6412867797402294,0.07037750928494202,0.01813110181311018,4.3059246782077,10.697381411311188,2.755927475592747
983.7906976744187,634.3720930232558,21.0,0.6644633428721132,0.13616165547663062,0.029288702928870293,4.376613195759946,20.696571632447853,4.451882845188284
1011.0681818181819,624.8863636363636,22.0,0.6881006774854262,0.14939140357550396,0.030683403068340307,4.448707066330551,22.7074933434766,4.663877266387726
1037.913043478261,654.231884057971,19.0,0.7113631225981465,0.10846320215066807,0.026499302649930265,4.519657523924347,16.486406726901546,4.027894002789401
1064.433734939759,662.6144578313254,18.0,0.7343446576601032,0.09677202533985307,0.02510460251046025,4.589751205863315,14.709347851657668,3.815899581589958
1091.159090909091,672.0454545454545,16.0,0.7575035449818813,0.08361861290731587,0.022315202231520222,4.660385812194738,12.710029161912011,3.391910739191074
1117.9080459770116,620.0689655172414,22.5,0.7806828821291262,0.15611022940412633,0.03138075313807531,4.731082790493835,23.728754869427203,4.7698744769874475
1145.159090909091,643.9545454545455,20.0,0.8042973058137703,0.12279700773424618,0.02789400278940028,4.803106782732,18.665145175605417,4.239888423988843
1171.929411764706,587.2588235294118,26.0,0.8274951575084107,0.20187053901058327,0.03626220362622036,4.873860230400653,30.684321929608657,5.511854951185494
1225.1797752808989,601.0,24.5,0.8736393200007789,0.1827057182705718,0.03417015341701534,5.014599926002376,27.771269177126914,5.193863319386332
