x_px,y_px,x_norm,y_norm,yerr_px,yerr_norm,x,y,yerr
192.95774605511448,311.12689031937146,0.012604811337660005,0.6944241104131812,113.01303665817927,0.14563535651827225,3.2176467358727243,51.5539288330545,11.65082852146178
218.4892645258287,443.77105705000093,0.037440918799444264,0.5234909058634009,128.69496275433153,0.165844024167953,3.252417286319222,37.87927246907207,13.267521933436239
244.40658804805076,533.1740724561366,0.06265232300394043,0.4082808344637414,89.13890271119655,0.11486971998865535,3.2877132522055166,28.66246675709931,9.189577599092427
269.9927927927928,602.566494584472,0.08754162723034317,0.31885761007155666,63.55631222989887,0.0819024642137872,3.3225582781224805,21.508608805724535,6.552197137102977
295.5160202685779,695.7129974352611,0.11236966952196294,0.19882345691332337,49.097875573020595,0.06327045821265541,3.357317537330748,11.90587655306587,5.061636657012433
321.4860515021459,712.6799356223175,0.1376323458192081,0.17695884584752897,63.55631222989887,0.0819024642137872,3.3926852841468915,10.156707667802317,6.552197137102977
347.08657966497856,741.5149401828108,0.1625355833316912,0.13980033481596543,51.83009016369424,0.06679135330372969,3.4275498166643676,7.184026785277235,5.343308264298376
372.93946998947,708.3988767988768,0.18768430932827823,0.1824756742282515,28.292341104509095,0.036459202454264296,3.4627580330595897,10.59805393826012,2.9167361963411436
398.53815830968153,740.6483233469988,0.21258575711058514,0.14091710908891908,28.292341104509095,0.036459202454264296,3.4976200599548193,7.273368727113526,2.9167361963411436
424.484649122807,722.4320175438596,0.23782553416615468,0.1643917299692531,28.292341104509095,0.036459202454264296,3.5329557478326166,9.151338397540249,2.9167361963411436
450.0681925808998,798.4977900552486,0.262712249592315,0.066368827248391,28.292341104509095,0.036459202454264296,3.567797149429241,1.3095061798712795,2.9167361963411436
475.82467674775364,791.7146614069691,0.287767195279916,0.07510997241369965,28.292341104509095,0.036459202454264296,3.6028740733918823,2.0087977930959724,2.9167361963411436
501.6948215183509,781.111111111111,0.3129327057571507,0.08877434135166107,20.8055344685115,0.026811255758391106,3.638105788060011,3.1019473081328854,2.1449004606712885
527.0795340584741,757.8361195438601,0.3376260058934573,0.11876788718574727,11.340417218543102,0.0146139397146174,3.6726764082508403,5.501430974859781,1.169115177169392
552.9013157894738,763.0986842105264,0.36274447061232856,0.11198623168746602,23.511308626931598,0.03029807812748917,3.70784225885726,4.958898534997282,2.4238462501991336
